sweep_id,timestamp_utc,status,failure_reason,prompt_id,prompt_idx,context_bucket,prompt_len_tokens,mode,benchmark_label,spec_k,sparsity_budget,quant_bits_requested,quant_bits_effective,recent_window,heavy_hitter_budget,sparse_refresh_interval,sparse_scoring,sparse_config_json,draft_cache_mode_resolved,quant_notes,trial_index,warmup,latency_e2e_s,latency_per_new_token_s,acceptance_rate,tokens_per_sec,logical_draft_kv_bytes,logical_verifier_kv_bytes,gpu_torch_name,modal_resource_tag,model_name,max_new_tokens,verify_match,device_type,experiment_schema_version,is_parallel_verification,quantization_type,sparse_integration_version,gpu_peak_memory_bytes_before_run,gpu_peak_memory_bytes_after_run,model_weights_gb,kv_cache_size_gb,effective_memory_bandwidth_gb_s,memory_throughput_gb_s,draft_latency_total_s,verify_latency_total_s
bench_full_modal_v4,2026-04-08T17:39:17.672379+00:00,ok,,mt-001,0,short,23,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,0,false,0.18777483799999928,0.005867963687499977,,170.4168691653997,1990656,1990656,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277578240,0.248879616,0.001990656,42.75252632091224,42.75252632091224,,
bench_full_modal_v4,2026-04-08T17:39:20.393272+00:00,ok,,mt-001,0,short,23,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,1,false,0.18800167099999854,0.005875052218749954,,170.21125306912964,1990656,1990656,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277578240,0.248879616,0.001990656,42.700943354913385,42.700943354913385,,
bench_full_modal_v4,2026-04-08T17:39:23.140538+00:00,ok,,mt-001,0,short,23,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,2,false,0.18191377199999081,0.005684805374999713,,175.9075173264046,1990656,1990656,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277578240,0.248879616,0.001990656,44.12996671851984,44.12996671851984,,
bench_full_modal_v4,2026-04-08T17:39:26.170514+00:00,ok,,mt-002,1,short,18,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,0,false,0.18665133199998252,0.005832854124999454,,171.4426554427321,1806336,1806336,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,276891136,0.248879616,0.001806336,42.97826529306928,42.97826529306928,,
bench_full_modal_v4,2026-04-08T17:39:28.874294+00:00,ok,,mt-002,1,short,18,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,1,false,0.18108975300000907,0.005659054781250283,,176.70795541920253,1806336,1806336,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,276891136,0.248879616,0.001806336,44.29820203023635,44.29820203023635,,
bench_full_modal_v4,2026-04-08T17:39:31.693586+00:00,ok,,mt-002,1,short,18,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,2,false,0.18135472899998462,0.005667335281249519,,176.4497687843735,1806336,1806336,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,276891136,0.248879616,0.001806336,44.23347826789055,44.23347826789055,,
bench_full_modal_v4,2026-04-08T17:39:34.506271+00:00,ok,,mt-003,2,short,23,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,0,false,0.187238224000005,0.005851194500000156,,170.90527412820975,1990656,1990656,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277578240,0.248879616,0.001990656,42.875052606778546,42.875052606778546,,
bench_full_modal_v4,2026-04-08T17:39:37.960889+00:00,ok,,mt-003,2,short,23,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,1,false,0.18310683299999653,0.0057220885312498915,,174.76136458545272,1990656,1990656,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277578240,0.248879616,0.001990656,43.84243106864369,43.84243106864369,,
bench_full_modal_v4,2026-04-08T17:39:40.650005+00:00,ok,,mt-003,2,short,23,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,2,false,0.1894639309999988,0.005920747843749963,,168.89758293888772,1990656,1990656,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277578240,0.248879616,0.001990656,42.371382572021325,42.371382572021325,,
bench_full_modal_v4,2026-04-08T17:39:43.459186+00:00,ok,,mt-004,3,short,20,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,0,false,0.18632588499999514,0.005822683906249848,,171.74210657848658,1880064,1880064,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277166080,0.248879616,0.001880064,43.06599568814719,43.06599568814719,,
bench_full_modal_v4,2026-04-08T17:39:46.485014+00:00,ok,,mt-004,3,short,20,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,1,false,0.18653885999999886,0.0058293393749999645,,171.54602531612016,1880064,1880064,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277166080,0.248879616,0.001880064,43.01682641354219,43.01682641354219,,
bench_full_modal_v4,2026-04-08T17:39:49.232603+00:00,ok,,mt-004,3,short,20,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,2,false,0.1862550059999819,0.0058204689374994345,,171.80746272131395,1880064,1880064,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277166080,0.248879616,0.001880064,43.08238437360862,43.08238437360862,,
bench_full_modal_v4,2026-04-08T17:39:52.030682+00:00,ok,,mt-005,4,short,21,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,0,false,0.19040181699999437,0.005950056781249824,,168.06562302922217,1916928,1916928,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277303296,0.248879616,0.001916928,42.15027742093574,42.15027742093574,,
bench_full_modal_v4,2026-04-08T17:39:55.399623+00:00,ok,,mt-005,4,short,21,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,1,false,0.18773900499996898,0.005866843906249031,,170.4493959579965,1916928,1916928,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277303296,0.248879616,0.001916928,42.74811943315309,42.74811943315309,,
bench_full_modal_v4,2026-04-08T17:39:58.206477+00:00,ok,,mt-005,4,short,21,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,2,false,0.19312587900000722,0.0060351837187502255,,165.69503872652305,1916928,1916928,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,277303296,0.248879616,0.001916928,41.555743070558144,41.555743070558144,,
bench_full_modal_v4,2026-04-08T17:40:01.357307+00:00,ok,,mt-006,5,short,18,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,0,false,0.18524605400000382,0.0057889391875001195,,172.74322075437752,1806336,1806336,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,276891136,0.248879616,0.001806336,43.30429874635728,43.30429874635728,,
bench_full_modal_v4,2026-04-08T17:40:04.378300+00:00,ok,,mt-006,5,short,18,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,1,false,0.18181132099998365,0.005681603781249489,,176.00664152263036,1806336,1806336,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,276891136,0.248879616,0.001806336,44.12239248842332,44.12239248842332,,
bench_full_modal_v4,2026-04-08T17:40:07.044684+00:00,ok,,mt-006,5,short,18,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,2,false,0.1882492019999802,0.005882787562499381,,169.98744037174387,1806336,1806336,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,276891136,0.248879616,0.001806336,42.613463317633844,42.613463317633844,,
bench_full_modal_v4,2026-04-08T17:40:10.007053+00:00,ok,,mt-007,6,short,16,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,0,false,0.18225060099996426,0.005695331281248883,,175.5824113853335,1732608,1732608,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,276616704,0.248879616,0.001732608,44.00309861256135,44.00309861256135,,
bench_full_modal_v4,2026-04-08T17:40:12.735121+00:00,ok,,mt-007,6,short,16,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,1,false,0.18749582899995687,0.005859244656248652,,170.67046328805193,1732608,1732608,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,276616704,0.248879616,0.001732608,42.77210437572904,42.77210437572904,,
bench_full_modal_v4,2026-04-08T17:40:15.606224+00:00,ok,,mt-007,6,short,16,autoregressive,ar,0,0.0,-1,-1,,,2,key_norm,,n/a,,2,false,0.18771992899996803,0.005866247781249001,,170.4667169355548,1732608,1732608,NVIDIA A10G,A10G,gpt2,32,false,cuda,2,false,none,,272092160,276616704,0.248879616,0.001732608,42.72104304919786,42.72104304919786,,
